Country name;Ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom Index;The World Giving Index;Corruption Perceptions Index
Afghanistan;1.859;7.324;0.341;53.95;3.82;20.0;24.0
Albania;5.277;9.567;0.718;69.08;7.67;28.0;36.0
Algeria;5.329;9.3;0.855;66.39;4.82;32.0;33.0
Argentina;6.024;9.959;0.891;67.13;6.85;36.0;38.0
Armenia;5.342;9.615;0.79;67.12;7.99;28.0;46.0
Australia;7.095;10.821;0.934;70.93;8.52;51.0;75.0
Austria;7.097;10.899;0.888;70.94;8.24;44.0;71.0
Bahrain;6.173;10.776;0.844;65.88;5.47;45.0;44.0
Bangladesh;4.282;8.685;0.544;64.3;5.51;33.0;25.0
Belgium;6.859;10.844;0.915;70.56;8.33;42.0;73.0
Benin;4.374;8.103;0.437;55.52;6.86;29.0;43.0
Bolivia;5.684;8.985;0.811;63.27;6.69;39.0;31.0
Bosnia and Herzegovina;5.633;9.616;0.88;67.19;7.33;38.0;34.0
Botswana;3.435;9.629;0.753;65.4;7.31;33.0;60.0
Brazil;6.125;9.582;0.836;65.65;6.92;37.0;38.0
Bulgaria;5.466;10.087;0.918;66.28;7.68;23.0;43.0
Burkina Faso;4.638;7.667;0.663;54.86;6.57;39.0;42.0
Cambodia;4.393;8.385;0.747;61.51;6.08;23.0;24.0
Cameroon;4.973;8.217;0.686;54.52;5.3;34.0;26.0
Canada;6.961;10.773;0.929;71.25;8.55;54.0;74.0
Chad;4.397;7.261;0.722;52.02;4.99;47.0;19.0
Chile;6.334;10.114;0.889;70.05;8.16;40.0;67.0
China;5.818;9.738;0.836;68.53;5.15;49.0;45.0
Colombia;5.63;9.584;0.822;68.96;6.54;34.0;39.0
Comoros;3.545;8.075;0.471;58.95;5.45;36.0;19.0
Congo (Brazzaville);5.267;8.095;0.605;57.5;6.3;41.0;19.0
Congo (Kinshasa);3.207;7.007;0.652;56.25;5.48;43.0;21.0
Costa Rica;6.609;9.952;0.872;69.97;8.04;40.0;54.0
Croatia;6.125;10.341;0.917;68.62;7.96;18.0;50.0
Cyprus;6.13;10.611;0.826;72.41;8.15;42.0;52.0
Czechia;6.845;10.611;0.953;68.79;8.38;44.0;56.0
Denmark;7.586;10.962;0.954;71.04;8.83;51.0;90.0
Dominican Republic;5.569;9.811;0.827;63.98;7.56;45.0;32.0
Ecuador;5.559;9.27;0.806;68.48;7.03;37.0;36.0
Egypt;4.17;9.367;0.726;62.97;4.24;25.0;30.0
El Salvador;6.122;9.089;0.755;64.87;6.85;36.0;33.0
Estonia;6.455;10.541;0.946;69.24;8.75;44.0;74.0
Ethiopia;4.091;7.739;0.782;59.89;5.2;50.0;38.0
Finland;7.804;10.792;0.969;71.0;8.7;44.0;87.0
France;6.661;10.701;0.909;72.08;7.86;37.0;72.0
Gabon;5.035;9.537;0.746;57.56;6.5;33.0;29.0
Gambia;4.279;7.648;0.584;57.04;6.64;52.0;34.0
Georgia;5.109;9.646;0.716;64.68;7.8;34.0;6.0
Germany;6.892;10.879;0.896;70.89;8.37;44.0;78.0
Ghana;4.605;8.596;0.641;57.98;7.19;46.0;43.0
Greece;5.931;10.288;0.835;70.87;7.49;18.0;52.0
Guatemala;6.15;9.116;0.812;62.3;7.09;39.0;24.0
Guinea;5.072;7.88;0.649;53.32;5.21;46.0;25.0
Honduras;6.023;8.635;0.766;62.98;6.72;45.0;23.0
Hungary;6.041;10.419;0.943;67.19;7.24;41.0;42.0
Iceland;7.53;10.896;0.983;71.98;8.73;44.0;74.0
India;4.036;8.759;0.608;60.33;6.29;44.0;40.0
Indonesia;5.277;9.385;0.804;62.83;6.62;68.0;34.0
Iran;4.876;9.61;0.778;66.26;4.03;45.0;25.0
Iraq;4.941;9.098;0.718;62.66;4.73;42.0;23.0
Ireland;6.911;11.527;0.905;71.07;8.79;49.0;77.0
Israel;7.473;10.639;0.943;72.38;7.43;37.0;63.0
Italy;6.405;10.634;0.882;71.92;7.95;37.0;56.0
Ivory Coast;5.053;8.576;0.572;57.1;6.48;37.0;37.0
Jamaica;5.703;9.165;0.867;66.55;7.56;47.0;44.0
Japan;6.129;10.616;0.894;74.09;8.4;18.0;73.0
Jordan;4.12;9.13;0.729;67.6;6.32;28.0;47.0
Kazakhstan;6.144;10.166;0.931;64.99;6.4;33.0;36.0
Kenya;4.487;8.458;0.69;57.68;6.57;60.0;32.0
Kosovo;6.368;9.359;0.844;65.195;8.61;41.0;41.0
Kyrgyzstan;5.825;8.486;0.911;65.78;6.64;45.0;27.0
Laos;5.111;8.962;0.679;60.51;5.34;32.0;31.0
Latvia;6.213;10.37;0.937;66.25;8.45;37.0;59.0
Lebanon;2.392;9.478;0.53;65.96;5.74;23.0;24.0
Liberia;4.042;7.277;0.596;54.91;6.49;58.0;26.0
Lithuania;6.763;10.568;0.939;66.69;6.39;24.0;62.0
Luxembourg;7.228;11.66;0.879;71.55;8.71;41.0;77.0
Madagascar;4.019;7.29;0.65;57.31;6.36;39.0;26.0
Malawi;3.495;7.302;0.531;57.06;6.83;38.0;34.0
Malaysia;6.012;10.169;0.799;65.66;6.66;46.0;47.0
Mali;4.198;7.655;0.593;54.63;5.9;34.0;28.0
Malta;6.3;10.661;0.923;71.46;8.2;49.0;51.0
Mauritania;4.724;8.591;0.644;59.76;5.34;40.0;30.0
Mauritius;5.902;9.957;0.888;63.94;7.61;37.0;50.0
Mexico;6.33;9.85;0.804;65.76;6.55;34.0;31.0
Moldova;5.819;9.499;0.857;64.54;7.66;34.0;39.0
Mongolia;5.84;9.372;0.933;60.29;7.43;46.0;33.0
Montenegro;5.722;9.813;0.89;66.97;7.8;27.0;45.0
Morocco;4.903;8.973;0.553;63.69;5.48;26.0;38.0
Mozambique;4.954;7.116;0.692;50.36;6.51;33.0;26.0
Myanmar;4.372;8.404;0.787;60.85;3.88;57.0;23.0
Namibia;4.631;9.121;0.787;56.06;7.31;38.0;49.0
Nepal;5.36;8.256;0.748;61.34;6.71;41.0;34.0
Netherlands;7.403;10.942;0.93;71.44;8.57;47.0;80.0
New Zealand;7.123;10.662;0.952;70.24;8.88;53.0;87.0
Nicaragua;6.259;8.618;0.853;65.46;5.48;39.0;19.0
Niger;4.501;7.091;0.59;55.52;6.29;35.0;32.0
Nigeria;4.981;8.496;0.74;54.39;5.96;53.0;24.0
North Macedonia;5.254;9.703;0.805;66.9;7.64;32.0;40.0
Norway;7.315;11.088;0.943;71.36;8.58;49.0;84.0
Pakistan;4.555;8.54;0.601;56.87;5.49;25.0;27.0
Panama;6.265;10.305;0.896;68.68;7.57;42.0;36.0
Paraguay;5.738;9.51;0.906;65.8;7.06;44.0;28.0
Peru;5.526;9.402;0.798;69.5;7.56;32.0;36.0
Philippines;5.523;8.979;0.78;62.0;6.46;34.0;33.0
Poland;6.26;10.453;0.925;68.66;7.69;15.0;55.0
Portugal;5.968;10.429;0.878;70.96;8.27;31.0;62.0
Romania;6.589;10.339;0.848;66.85;7.9;29.0;46.0
Russia;5.661;10.21;0.889;64.21;5.81;34.0;28.0
Saudi Arabia;6.463;10.715;0.884;64.02;4.53;40.0;51.0
Senegal;4.855;8.155;0.629;59.37;6.71;45.0;43.0
Serbia;6.144;9.854;0.873;66.88;7.14;29.0;36.0
Sierra Leone;3.138;7.394;0.555;52.92;6.51;48.0;34.0
Singapore;6.587;11.571;0.878;73.55;7.75;49.0;83.0
Slovakia;6.469;10.353;0.953;68.54;8.04;30.0;53.0
Slovenia;6.65;10.588;0.951;70.74;7.9;42.0;56.0
South Africa;5.275;9.478;0.907;56.15;6.92;42.0;43.0
South Korea;5.951;10.693;0.812;73.06;8.12;38.0;63.0
Spain;6.436;10.54;0.932;72.09;8.03;37.0;60.0
Sri Lanka;4.442;9.491;0.826;67.05;6.13;49.0;36.0
State of Palestine;4.908;8.716;0.859;66.47;6.94;27.0;26.0
Sweden;7.395;10.883;0.939;71.91;8.75;48.0;83.0
Switzerland;7.24;11.164;0.92;72.52;9.01;42.0;82.0
Taiwan Province of China;6.535;10.797;0.884;72.52;8.56;35.0;68.0
Tajikistan;5.33;8.237;0.836;62.01;5.44;48.0;24.0
Tanzania;3.694;7.857;0.653;58.48;6.16;30.0;38.0
Thailand;5.843;9.751;0.874;68.26;6.67;45.0;36.0
Togo;4.137;7.673;0.595;56.19;6.2;35.0;30.0
Tunisia;4.497;9.244;0.73;66.89;6.22;24.0;40.0
TÃ¼rkiye;4.614;10.307;0.796;68.41;5.63;27.0;36.0
Uganda;4.432;7.716;0.794;58.21;5.75;46.0;26.0
Ukraine;5.071;9.314;0.878;64.3;6.72;62.0;33.0
United Arab Emirates;6.571;11.145;0.826;65.99;5.73;52.0;67.0
United Kingdom;6.796;10.704;0.882;70.13;8.39;49.0;73.0
United States;6.894;11.048;0.919;66.12;8.39;58.0;69.0
Uruguay;6.494;10.037;0.913;67.51;7.96;41.0;74.0
Uzbekistan;6.014;8.948;0.875;64.68;9.38;45.0;31.0
Venezuela;5.211;5.527;0.839;65.3;4.22;40.0;14.0
Vietnam;5.763;9.287;0.821;57.53;5.51;23.0;42.0
Zambia;3.982;8.074;0.694;54.4;6.21;39.0;33.0
Zimbabwe;3.204;7.641;0.69;53.07;4.86;31.0;23.0
